title;year;rating;studio;duration;must_see;metascore;user_score;number_critics;number_users;genre;director;writer;summary
They Live by Night;1949;TV-PG;RKO Radio Pictures;1 h 35 m;False;82;7.8;12;;Crime, Film-Noir, Romance;Nicholas Ray;Charles Schnee, Edward Anderson, Nicholas Ray;An escaped convict, injured during a robbery, falls in love with the woman who nurses him back to health, but their relationship seems doomed from the beginning.
The Unknown Country;2023;;Music Box Films;1 h 25 m;False;82;tbd;14;;Adventure, Drama, Mystery, Romance;Morrisa Maltz;Lily Gladstone, Lainey Bearkiller Shangreaux, Vanara Taing;Reeling from a devastating loss, Tana (Lily Gladstone) is pulled back into the world by an unexpected invitation to her cousin’s wedding. She packs up her late grandmother’s Cadillac and hits the open road, driving from her home in Minnesota to South Dakota. After reconnecting with her Oglala Lakota family, Tana sets off to retrace a surreal journey that her grandmother took decades ago, searching for the spot captured in an old family photograph. As she travels, Tana finds connection in the stories of everyday people who’ve settled down far off the main roads including Isaac (Raymond Lee), who provides a pivotal clue to understanding the lost location that could cultivate closure..
A Quiet Place;2018;PG-13;Paramount Pictures;1 h 30 m;True;82;7.1;55;1.0;Drama, Horror, Sci-Fi;John Krasinski;Bryan Woods, Scott Beck, John Krasinski;A family of four must navigate their lives in silence after mysterious creatures that hunt by sound threaten their survival. If they hear you, they hunt you. 
Carmine Street Guitars;2019;;Abramorama;1 h 20 m;False;82;tbd;14;;Documentary, Music;Ron Mann;Len Blum;Five days in the life of fabled Greenwich Village guitar store Carmine Street Guitars.
The Teachers' Lounge;2023;PG-13;Sony Pictures Classics;1 h 38 m;True;82;8.1;21;39.0;Drama;Ilker Çatak;Johannes Duncker, Ilker Çatak;Carla Nowak (Leonie Benesch) is a dedicated, idealistic young teacher in her first job at a German middle school. Her relaxed rapport with her seventh-grade students is put under stress when a series of thefts occur at the school, and a staff investigation leads to accusations and mistrust among outraged parents, opinionated colleagues, and angry students. Caught in the middle of these complex dynamics, Carla tries to mediate—but the more she tries to do everything right, the more desperate her position becomes..
Socrates;2019;Not Rated;Breaking Glass Pictures;1 h 11 m;False;82;tbd;10;;Drama;Alexandre Moratto;Thayná Mantesso, Alexandre Moratto;After his mother's sudden death, Socrates, a 15-year-old living on the margins of São Paulo's coast, must survive on his own while coming to terms with his grief.
Frances Ha;2013;R;IFC Films;1 h 26 m;True;82;7.8;35;231.0;Comedy, Drama, Romance;Noah Baumbach;Greta Gerwig, Noah Baumbach;This small budget, black-and white-collaboration between writer/director Noah Baumbach and writer/star Greta Gerwig centers on Frances (Gerwig), an apprentice dancer fumbling through post-college life in New York City.
The Namesake;2007;PG-13;Fox Searchlight Pictures;2 h 2 m;True;82;7.7;33;27.0;Drama;Mira Nair;Sooni Taraporevala, Jhumpa Lahiri;Spanning two generations, two clashing cultures and two very different ways of life that crash into each other only to become lovingly intertwined, The Namesake is ultimately about the imminently relevant question: what does it mean to be an American family?  [Fox Searchlight Pictures]
C'mon C'mon;2021;R;A-One Films;1 h 49 m;True;82;7.2;43;80.0;Drama;Mike Mills;Mike Mills;Johnny (Joaquin Phoenix) is a kindhearted radio journalist deep into a project in which he interviews children across the U.S. about our world’s uncertain future. His sister, Viv (Gaby Hoffmann), asks him to watch her 8-year-old son, Jesse (Woody Norman), while she tends to the child’s father, who’s suffering from mental health issues. After agreeing, Johnny finds himself connecting with his nephew in ways he hadn’t expected, ultimately taking Jesse with him on a journey from Los Angeles to New York to New Orleans. .
In the Family;2012;Not Rated;E.D. Distribution;2 h 49 m;False;82;6.4;9;12.0;Drama, Romance;Patrick Wang;Patrick Wang;In the town of Martin, Tennessee, Chip Hines, a precocious six year old, has only known life with his two dads, Cody and Joey. And a good life it is. When Cody dies suddenly in a car accident, Joey and Chip struggle to find their footing again. Just as they begin to, Cody’s will reveals that he named his sister as Chip’s guardian. The years of Joey’s acceptance into the family unravel as Chip is taken away from him. In his now solitary home life, Joey searches for a solution. The law is not on his side, but friends are. Armed with their comfort and inspired by memories of Cody, Joey finds a path to peace with the family and closer to his son. (In the Family Production).
