title;year;rating;studio;duration;must_see;metascore;user_score;number_critics;number_users;genre;director;writer;summary
Marwencol;2010;Not Rated;The Cinema Guild;1 h 22 m;True;82;7.8;18;19.0;Documentary, Biography, Fantasy;Jeff Malmberg;;On April 8, 2000, Mark Hogancamp was brutally attacked outside of a bar by five men. Revived by paramedics, Mark had suffered brain damage and physical injuries so severe even his own mother didn’t recognize him. After nine days in a coma and 40 days in the hospital, Mark was discharged with little memory of his previous life. Unable to afford therapy, Mark decided to create his own. In his backyard, he built Marwencol, a 1/6th scale World War II-era town that he populated with dolls representing his friends, family and even his attackers. After a few years, Mark started documenting his miniature dramas with his camera. Through Mark’s lens, these were no longer dolls – they were living, breathing characters in an epic WWII story full of violence, jealousy, longing and revenge. And he (or rather his alter ego, Captain Hogancamp) was the hero. When Mark’s stunningly realistic photos are discovered by an art magazine, and a prestigious gallery comes calling, his homemade therapy suddenly becomes “art,” forcing Mark to make a choice between the safety of his fictional town and the real world beyond it. [The Cinema Guild].
The Wind That Shakes the Barley;2007;Not Rated;IFC First Take;2 h 7 m;True;82;7.6;30;42.0;Drama, War;Ken Loach;Paul Laverty;In this historical drama, two brothers find themselves on opposing sides in Ireland's struggle for freedom from Britain.
Rye Lane;2023;R;Searchlight Pictures;1 h 22 m;True;82;6.9;31;41.0;Comedy, Drama, Romance;Raine Allen-Miller;Nathan Bryon, Tom Melia;Two youngsters reeling from bad breakups who connect over an eventful day in South-London.
To Catch a Thief;1955;PG;Paramount Pictures;1 h 46 m;True;82;7.2;19;25.0;Mystery, Romance, Thriller;Alfred Hitchcock;John Michael Hayes, David Dodge, Alec Coppel;A retired jewel thief sets out to prove his innocence after being suspected of returning to his former occupation.
The Lobster;2016;R;A24;1 h 59 m;True;82;7.1;44;542.0;Drama, Romance, Sci-Fi, Thriller;Yorgos Lanthimos;Efthimis Filippou, Yorgos Lanthimos;A love story set in the near future where single people, according to the rules of The City, are arrested and transferred to The Hotel. There they are obliged to find a matching mate in 45 days. If they fail, they are transformed into an animal of their choosing and released into The Woods. A desperate Man escapes from The Hotel to The Woods where The Loners live and falls in love, although it is against their rules..
Small Things Like These;;;;1 h 36 m;False;82;tbd;11;;Drama, History;Tim Mielants;Claire Keegan, Enda Walsh;It is 1985 in the run-up to Christmas in a small town in County Wexford, Ireland. Bill Furlong (Cillian Murphy) toils as a coal merchant to support himself, his wife and his five daughters. Early one morning while out delivering coal at the local convent, he makes a discovery that forces him to confront his past and the complicit silence of a town controlled by the Catholic Church. Based on the novel by Claire Keegan..
The Nightmare Before Christmas;1993;PG;Buena Vista Pictures Distribution;1 h 16 m;True;82;8.4;31;254.0;Animation, Family, Fantasy, Musical;Henry Selick;Tim Burton, Michael McDowell, Caroline Thompson;Can Christmas be saved? Bored with the same old scare-and-scream routine, Jack Skellington, the Pumpkin King of Halloween Town, longs to spread the joy of Christmas.  But his merry mission puts Santa in jeopardy and creates a nightmare for good little boys and girls everywhere. [Walt Disney]
Breaking the Waves;1996;R;October Films;2 h 39 m;True;82;7.9;29;76.0;Drama;Lars von Trier;Peter Asmussen, David Pirie, Lars von Trier;Set in a remote coastal village in northern Scotland, this is the extraordinary tale of a young woman's love and devotion to her husband, recently paralyzed in an oil rig accident.
Pride & Prejudice;2005;PG;Focus Features;2 h 9 m;True;82;8.2;37;222.0;Drama, Romance;Joe Wright;Deborah Moggach, Jane Austen, Emma Thompson;Keira Knightly stars as Elizabeth Bennet in this classic tale of love and misunderstanding which unfolds in class-conscious England near the close of the 18th century.  (Focus Features)
The Squid and the Whale;2005;R;Samuel Goldwyn Films;1 h 21 m;True;82;7.6;37;112.0;Comedy, Drama;Noah Baumbach;Noah Baumbach;The Squid and the Whale captures with extraordinary immediacy the inner workings of the Berkman family in 1986 Brooklyn.
Rebels of the Neon God;2015;Not Rated;Big World Pictures;1 h 46 m;False;82;7.0;10;11.0;Crime, Drama, Romance;Ming-liang Tsai;Ming-liang Tsai;Defying his parents, Hsiao Kang (Lee Kang-sheng) drops out of the local cram school to head for the bright lights of downtown Taipei. He becomes obsessed with Ah Tze (Chen Chao-jung), a petty thief, and their relationships is a confused mixture of hero-worship and rivalry that soon leads to trouble.
Winged Migration;2003;G;Sony Pictures Classics;1 h 38 m;True;82;7.3;34;13.0;Documentary;Jacques Perrin, Jacques Cluzaud, Michel Debats;Stéphane Durand, Jean Dorst, Guy Jarry, Francis Roux, Valentine Marvel, Jacques Perrin;This documentary examines the migratory patterns of birds through forty countries and all seven continents. 
Under the Skin;2014;R;A24;1 h 48 m;True;82;6.8;48;534.0;Drama, Horror, Mystery, Sci-Fi, Thriller;Jonathan Glazer;Walter Campbell, Michel Faber, Milo Addica, Jonathan Glazer;An alien seductress (Scarlett Johansson) preys upon hitchhikers in Scotland.
School of Rock;2003;PG-13;Paramount Pictures;1 h 49 m;True;82;8.0;41;379.0;Comedy, Music;Richard Linklater;Mike White;Hell raising guitarist with delusions of grandeur Dewey Finn (Black) has been kicked out of his band.  Desperate for work, he impersonates a substitute teacher and turns a class of fifth grade high-achievers into high-voltage rock and rollers.  (Paramount)
Life and Nothing More;2018;;CFI Releasing;1 h 54 m;True;82;8.5;15;19.0;Drama;Antonio Méndez Esparza;Antonio Méndez Esparza;Standing on the edge of adulthood, Andrew yearns to find his purpose as a young African-American in today's America. With his mother longing to find more to her life then parenting, Andrew is forced to take on the mounting pressure of family responsibility. His search for connection with an absent father, leads him to a dangerous crossroads..
Star Trek;2009;PG-13;Paramount Pictures;2 h 7 m;True;82;7.7;46;947.0;Action, Adventure, Sci-Fi;J.J. Abrams;Roberto Orci, Alex Kurtzman, Gene Roddenberry;The greatest adventure of all time begins with Star Trek, the incredible story of a young crew's maiden voyage onboard the most advanced starship ever created: the U.S.S. Enterprise. On a journey filled with action, comedy and cosmic peril, the new recruits must find a way to stop an evil being whose mission of vengeance threatens all of mankind. The fate of the galaxy rests in the hands of bitter rivals. One, James T. Kirk, is a delinquent, thrill-seeking Iowa farm boy. The other, Spock, was raised in a logic-based society that rejects all emotion. As fiery instinct clashes with calm reason, their unlikely but powerful partnership is the only thing capable of leading their crew through unimaginable danger, boldly going where no one has gone before! [Paramount].
