"year";"rating";"duration";"must_see";"metascore";"user_score";"number_critics";"number_users";"genre_drama";"genre_crime";"genre_mystery";"genre_romance";"genre_adventure";"genre_biography";"genre_thriller";"genre_comedy";"genre_history";"genre_documentary";"genre_others"
2024;0;3;1;94;72;15;19;1;0;0;0;0;0;0;0;0;0;0
1976;4;2;1;94;77;23;1;1;1;0;0;0;0;0;0;0;0;0
1964;0;2;0;94;76;9;27;1;0;0;0;0;0;0;0;0;0;0
2000;0;3;1;94;85;25;75;1;0;0;1;0;0;0;0;0;0;0
1962;6;3;1;94;79;20;111;1;0;0;0;0;0;1;0;0;0;0
2014;4;3;1;94;69;44;161;1;0;0;0;0;1;0;0;1;0;0
2019;4;3;1;94;81;55;1;1;1;0;0;0;1;0;0;0;0;0
1989;0;0;1;94;87;16;175;1;0;0;0;0;0;0;0;0;0;1
1970;1;0;1;94;76;15;7;1;0;0;0;0;1;0;0;1;0;0
1984;2;0;1;94;84;15;63;0;0;0;0;0;0;0;0;0;1;1
1943;6;2;1;94;81;15;59;0;0;0;0;0;0;1;0;0;0;1
2015;2;1;1;94;86;55;2;1;0;0;0;1;0;0;1;0;0;1
2004;4;3;1;94;77;42;356;1;0;0;1;0;0;0;1;0;0;0
1945;6;2;1;94;72;18;16;1;0;0;1;0;0;0;1;0;0;1
1950;6;2;1;94;85;32;102;1;0;0;0;0;0;0;0;0;0;1
1960;6;3;1;94;82;21;85;1;0;0;1;0;0;0;1;0;0;0
1979;4;3;1;94;87;15;796;1;0;1;0;0;0;0;0;0;0;1
1950;6;0;0;94;70;8;15;0;0;0;0;0;0;0;0;0;0;1
2011;0;0;0;94;66;11;54;0;0;0;0;0;1;0;0;1;1;1
2017;2;1;1;94;70;23;87;0;0;0;0;1;0;0;0;0;1;0
1978;2;1;1;94;83;20;175;1;0;0;1;0;0;0;0;0;0;0
2023;3;2;1;94;80;52;213;1;0;0;1;0;0;0;0;0;0;0
1967;0;2;1;94;84;23;9;1;0;0;0;0;0;0;1;1;0;1
2003;3;3;1;94;89;41;3;1;0;0;0;1;0;0;0;0;0;1
2017;4;3;1;94;79;53;1;1;0;0;1;0;0;0;0;0;0;0
2023;0;3;0;94;0;7;0;1;0;1;0;0;0;1;0;0;0;0
2010;0;4;1;94;79;21;86;1;1;0;0;0;1;1;0;0;0;0
2019;4;3;1;94;81;53;676;1;0;0;1;0;0;0;0;0;0;0
1971;4;1;1;94;83;18;225;1;1;0;0;0;0;1;0;0;0;1
1961;0;0;1;94;82;16;36;1;1;0;0;0;0;1;0;0;0;0
2016;3;3;1;94;83;54;2;1;0;0;1;0;0;0;1;0;0;1
